Date,Property,Code,Region,Total Units,Occupied Units,Billed Rent,Collected Rent,Occupancy %,Collection %
2025-06-30,Sunset Villas,SV01,Southeast,220,207,396000,378180.0,0.94,0.955
2025-06-30,Lakeside Residences,LR01,Southeast,180,166,324000,302940.0,0.92,0.935
2025-06-30,Oakwood Apartments,OA01,Southwest,260,247,468000,451620.0,0.95,0.965
2025-06-30,Pinecrest Flats,PF01,Southeast,200,182,360000,333000.0,0.91,0.925
2025-07-31,Sunset Villas,SV01,Southeast,220,207,396000,379368.0,0.943,0.958
2025-07-31,Lakeside Residences,LR01,Southeast,180,166,324000,303912.0,0.923,0.938
2025-07-31,Oakwood Apartments,OA01,Southwest,260,248,468000,453024.0,0.953,0.968
2025-07-31,Pinecrest Flats,PF01,Southeast,200,183,360000,334080.0,0.913,0.928
2025-08-31,Sunset Villas,SV01,Southeast,220,208,396000,380556.0,0.946,0.961
2025-08-31,Lakeside Residences,LR01,Southeast,180,167,324000,304884.0,0.926,0.941
2025-08-31,Oakwood Apartments,OA01,Southwest,260,249,468000,454428.0,0.956,0.971
2025-08-31,Pinecrest Flats,PF01,Southeast,200,183,360000,335160.0,0.916,0.931
